STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_ur,Urban audit indicator,cities,Geopolitical entity (declaring),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG002C,Plovdiv,2010,,38.29,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG002C,Plovdiv,2011,,41.73,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG002C,Plovdiv,2012,,40.76,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG002C,Plovdiv,2014,,32.83,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG002C,Plovdiv,2015,,32.30,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG002C,Plovdiv,2016,,33.50,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG002C,Plovdiv,2017,,31.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG002C,Plovdiv,2018,,25.30,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG003C,Varna,2008,,36.09,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG003C,Varna,2010,,38.29,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG003C,Varna,2011,,41.73,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG003C,Varna,2012,,40.76,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG003C,Varna,2014,,32.83,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG003C,Varna,2015,,32.30,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG003C,Varna,2016,,33.50,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG003C,Varna,2017,,31.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG003C,Varna,2018,,25.20,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG004C,Burgas,2008,,36.09,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG004C,Burgas,2010,,38.29,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG004C,Burgas,2011,,41.73,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG004C,Burgas,2012,,40.76,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG004C,Burgas,2014,,32.83,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG004C,Burgas,2015,,32.30,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG004C,Burgas,2016,,33.50,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG004C,Burgas,2017,,31.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG004C,Burgas,2018,,25.30,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG005C,Pleven,2008,,45.88,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG005C,Pleven,2010,,46.71,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG005C,Pleven,2011,,44.19,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG005C,Pleven,2012,,44.87,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG005C,Pleven,2014,,36.83,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG005C,Pleven,2015,,37.60,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG005C,Pleven,2016,,37.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG005C,Pleven,2017,,35.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG005C,Pleven,2018,,30.20,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG006C,Ruse,2008,,36.09,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG006C,Ruse,2010,,38.29,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG006C,Ruse,2011,,41.73,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG006C,Ruse,2012,,40.76,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG006C,Ruse,2014,,32.83,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG006C,Ruse,2015,,32.30,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG006C,Ruse,2016,,33.50,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG006C,Ruse,2017,,31.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG006C,Ruse,2018,,25.20,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG007C,Vidin,2008,,55.07,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG007C,Vidin,2010,,57.47,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG007C,Vidin,2011,,55.04,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG007C,Vidin,2012,,55.69,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG007C,Vidin,2014,,47.15,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG007C,Vidin,2015,,49.90,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG007C,Vidin,2016,,45.40,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG007C,Vidin,2017,,46.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG007C,Vidin,2018,,38.60,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG008C,Stara Zagora,2008,,36.09,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG008C,Stara Zagora,2010,,38.29,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG008C,Stara Zagora,2011,,41.73,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG008C,Stara Zagora,2012,,40.76,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG008C,Stara Zagora,2014,,32.83,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG008C,Stara Zagora,2015,,32.30,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG008C,Stara Zagora,2016,,33.50,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG008C,Stara Zagora,2017,,31.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG008C,Stara Zagora,2018,,25.30,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG009C,Sliven,2008,,45.88,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG009C,Sliven,2010,,46.72,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG009C,Sliven,2011,,44.19,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG009C,Sliven,2012,,44.87,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG009C,Sliven,2014,,36.83,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG009C,Sliven,2015,,37.60,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG009C,Sliven,2016,,37.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG009C,Sliven,2017,,35.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG009C,Sliven,2018,,30.10,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG010C,Dobrich,2008,,45.88,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG010C,Dobrich,2010,,46.71,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG010C,Dobrich,2011,,44.19,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG010C,Dobrich,2012,,44.87,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG010C,Dobrich,2014,,36.83,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG010C,Dobrich,2015,,37.60,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG010C,Dobrich,2016,,37.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG010C,Dobrich,2017,,35.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG010C,Dobrich,2018,,30.20,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG011C,Shumen,2008,,45.88,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG011C,Shumen,2010,,46.71,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG011C,Shumen,2011,,44.19,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG011C,Shumen,2012,,44.87,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG011C,Shumen,2014,,36.83,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG011C,Shumen,2015,,37.60,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG011C,Shumen,2016,,37.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG011C,Shumen,2017,,35.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG011C,Shumen,2018,,30.10,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG012C,Pernik,2008,,45.88,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG012C,Pernik,2010,,46.71,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG012C,Pernik,2011,,44.19,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG012C,Pernik,2012,,44.87,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG012C,Pernik,2014,,36.83,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG012C,Pernik,2015,,37.60,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG012C,Pernik,2016,,37.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG012C,Pernik,2017,,35.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG012C,Pernik,2018,,30.10,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG013C,Yambol,2008,,45.88,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG013C,Yambol,2010,,46.72,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG013C,Yambol,2011,,44.19,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG013C,Yambol,2012,,44.87,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG013C,Yambol,2014,,36.83,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG013C,Yambol,2015,,37.60,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG013C,Yambol,2016,,37.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG013C,Yambol,2017,,35.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG013C,Yambol,2018,,30.10,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG014C,Haskovo,2008,,45.88,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG014C,Haskovo,2010,,46.71,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG014C,Haskovo,2011,,44.19,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG014C,Haskovo,2012,,44.87,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG014C,Haskovo,2014,,36.83,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG014C,Haskovo,2015,,37.60,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG014C,Haskovo,2016,,37.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG014C,Haskovo,2017,,35.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG014C,Haskovo,2018,,30.20,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG015C,Pazardzhik,2008,,45.88,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG015C,Pazardzhik,2010,,46.72,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG015C,Pazardzhik,2011,,44.19,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG015C,Pazardzhik,2012,,44.87,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG015C,Pazardzhik,2014,,36.83,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG015C,Pazardzhik,2015,,37.60,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG015C,Pazardzhik,2016,,37.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG015C,Pazardzhik,2017,,35.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG015C,Pazardzhik,2018,,30.20,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG016C,Blagoevgrad,2008,,48.70,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG016C,Blagoevgrad,2010,,49.64,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG016C,Blagoevgrad,2011,,51.85,,e,estimated,,
